LAT,LON,SPEED,DESTINATION,FLAG,SHIPNAME,SHIP_ID,DATETIME,PORT,ship_type,is_parked,Date_Tm_lag1_sec,Dist_mt,Dist_lag1_mt
57.67623,11.80459,126,GOTHENBURG,MT,BESIKTAS ICELAND,3049,2016-12-13T11:37:08Z,gothenborg,Tanker,0,3,194.4432,-7583.2848
57.67918,11.8193,113,GOTHENBURG,MT,BESIKTAS ICELAND,3049,2016-12-13T11:39:05Z,gothenborg,Tanker,0,117,6800.8824,6606.4392
55.79769,20.80321,40,KLAIPEDA,GB,BIRGIT KNUTSEN,200327,2016-12-13T14:25:07Z,klaipeda,Tanker,0,121,2489.696,20.576
55.71124,20.98247,69,KLAIPEDA,GB,BIRGIT KNUTSEN,200327,2016-12-14T10:09:06Z,klaipeda,Tanker,0,71039,2521429.85,2518940.154
55.72628,21.09376,0,PORVOO,GB,BIRGIT KNUTSEN,200327,2016-12-15T21:19:06Z,klaipeda,Tanker,1,120,0,0
55.7268,21.09066,43,PORVOO,GB,BIRGIT KNUTSEN,200327,2016-12-15T21:21:06Z,klaipeda,Tanker,0,120,2654.304,2654.304
54.65648,19.84018,44,KALININGRAD,SE,BONITO,6338,2016-12-15T07:27:02Z,kalingrad,Tanker,0,120,2716.032,1124.4784
54.65579,19.84303,64,KALININGRAD,SE,BONITO,6338,2016-12-15T07:29:03Z,kalingrad,Tanker,0,121,3983.5136,1267.4816
54.63328,19.92887,61,SLAGEN,SE,BONITO,6338,2016-12-16T13:53:03Z,kalingrad,Tanker,0,121,3796.7864,62.7568
54.66795,19.81384,131,SLAGEN,SE,BONITO,6338,2016-12-16T13:55:03Z,kalingrad,Tanker,0,120,8086.368,4289.5816
57.67873,11.81502,116,GOTHENBURG,GI,BOTHNIA,204358,2016-12-17T11:09:08Z,gothenborg,Tanker,0,3,179.0112,-6802.4256
57.67873,11.81502,116,GOTHENBURG,GI,BOTHNIA,204358,2016-12-17T11:11:05Z,gothenborg,Tanker,0,117,6981.4368,6802.4256
57.68129,11.82053,113,SANKT-PETERBURG,GI,BOTHNIA,204358,2016-12-19T14:11:07Z,gothenborg,Tanker,0,2,116.2544,-6742.7552
57.67933,11.80732,113,SANKT-PETERBURG,GI,BOTHNIA,204358,2016-12-19T14:13:05Z,gothenborg,Tanker,0,118,6859.0096,6742.7552
57.93522,11.6828,108,NO KAR>SE STE,NO,CLIPPER HARALD,306293,2016-12-20T02:49:05Z,gothenborg,Tanker,0,112,6222.1824,-888.8832
57.94561,11.69725,108,NO KAR>SE STE,NO,CLIPPER HARALD,306293,2016-12-20T02:51:13Z,gothenborg,Tanker,0,128,7111.0656,888.8832
57.91437,11.62912,81,NO KAR>SE STE,NO,CLIPPER JUPITER,3362218,2016-12-16T08:21:05Z,gothenborg,Tanker,0,115,4791.636,-1188.264
57.91541,11.63301,85,NO KAR>SE STE,NO,CLIPPER JUPITER,3362218,2016-12-16T08:23:05Z,gothenborg,Tanker,0,120,5246.88,455.244
57.91271,11.62727,91,SE STE>NL RTM,NO,CLIPPER JUPITER,3362218,2016-12-17T16:57:05Z,gothenborg,Tanker,0,120,5617.248,-740.736
57.91457,11.6173,97,SE STE>NL RTM,NO,CLIPPER JUPITER,3362218,2016-12-17T16:59:05Z,gothenborg,Tanker,0,120,5987.616,370.368
57.972,11.73,106,AMSTERDAM,DK,COPENHAGEN,159706,2016-12-16T23:43:05Z,gothenborg,Tanker,0,120,6543.168,-61.728
57.9665,11.72367,108,AMSTERDAM,DK,COPENHAGEN,159706,2016-12-16T23:45:05Z,gothenborg,Tanker,0,120,6666.624,123.456
57.92383,11.62883,116,STENUNGSUND,DK,COPENHAGEN,159706,2016-12-15T19:19:05Z,gothenborg,Tanker,0,120,7160.448,0
57.92619,11.6538,119,STENUNGSUND,DK,COPENHAGEN,159706,2016-12-15T19:21:05Z,gothenborg,Tanker,0,120,7345.632,185.184
57.95105,11.70218,106,RAFNES,LR,CORAL LACERA,756074,2016-12-17T09:49:04Z,gothenborg,Tanker,0,118,6434.1152,-47.3248
57.94567,11.69525,107,RAFNES,LR,CORAL LACERA,756074,2016-12-17T09:51:05Z,gothenborg,Tanker,0,121,6659.9368,225.8216
57.92473,11.64156,112,STENUNGSUND,LR,CORAL LACERA,756074,2016-12-16T10:07:06Z,gothenborg,Tanker,0,121,6971.1488,115.2256
57.92592,11.65315,115,STENUNGSUND,LR,CORAL LACERA,756074,2016-12-16T10:09:06Z,gothenborg,Tanker,0,120,7098.72,127.5712
57.92804,11.66216,103,STENUNGSUND,LR,CORAL MEANDRA,263683,2016-12-19T13:47:05Z,gothenborg,Tanker,0,121,6410.9672,167.18
57.93575,11.68014,103,STENUNGSUND,LR,CORAL MEANDRA,263683,2016-12-19T13:51:04Z,gothenborg,Tanker,0,239,12662.9848,6252.0176
57.95399,11.70532,106,STENUNGSUND,NL,CORAL STICHO,251928,2016-12-18T03:29:05Z,gothenborg,Tanker,0,119,6488.6416,-233.5376
